Cell_Designation,Time_Point,Polarity_Patch_Number,Polarity_Patch_Number_2
rcc096_1_s1_c,21,0,0
rcc096_1_s1_c,22,0,0
rcc096_1_s1_c,23,0,0
rcc096_1_s1_c,24,0,0
rcc096_1_s1_c,25,0,0
rcc096_1_s1_c,26,0,0
rcc096_1_s1_c,27,0,0
rcc096_1_s1_c,28,0,0
rcc096_1_s1_c,29,0,0
rcc096_1_s1_c,30,0,0
rcc096_1_s1_c,31,0,0
rcc096_1_s1_c,32,0,0
rcc096_1_s1_c,33,0,0
rcc096_1_s1_c,34,0,0
rcc096_1_s1_c,35,0,0
rcc096_1_s1_c,36,0,0
rcc096_1_s1_c,37,0,0
rcc096_1_s1_c,38,0,0
rcc096_1_s1_c,39,0,0
rcc096_1_s1_c,40,0,0
rcc096_1_s1_c,41,0,0
rcc096_1_s1_c,42,0,0
rcc096_1_s1_c,43,0,0
rcc096_1_s1_c,44,0,0
rcc096_1_s1_c,45,1,1
rcc096_1_s1_c,46,0,0
rcc096_1_s1_c,47,0,0
rcc096_1_s1_c,48,0,0
rcc096_1_s1_c,49,0,0
rcc096_1_s1_c,50,0,0
rcc096_1_s1_c,51,0,0
rcc096_1_s1_c,52,0,0
rcc096_1_s1_c,53,0,0
rcc096_1_s1_c,54,0,0
rcc096_1_s1_c,55,0,0
rcc096_1_s1_c,56,0,0
rcc096_1_s1_c,57,0,0
rcc096_1_s1_c,58,0,0
rcc096_1_s1_c,59,0,0
rcc096_1_s1_c,60,0,0
rcc096_1_s1_c,61,0,0
rcc096_1_s1_d,1,0,0
rcc096_1_s1_d,2,0,0
rcc096_1_s1_d,3,0,0
rcc096_1_s1_d,4,0,0
rcc096_1_s1_d,5,0,0
rcc096_1_s1_d,6,0,0
rcc096_1_s1_d,7,0,0
rcc096_1_s1_d,8,0,0
rcc096_1_s1_d,9,0,0
rcc096_1_s1_d,10,0,0
rcc096_1_s1_d,11,0,0
rcc096_1_s1_d,12,0,0
rcc096_1_s1_d,13,0,0
rcc096_1_s1_d,14,0,0
rcc096_1_s1_d,15,0,0
rcc096_1_s1_d,16,1,1
rcc096_1_s1_d,17,1,1
rcc096_1_s1_d,18,0,0
rcc096_1_s1_d,19,0,0
rcc096_1_s1_d,20,0,0
rcc096_1_s1_d,21,1,1
rcc096_1_s1_d,22,1,1
rcc096_1_s1_d,23,0,0
rcc096_1_s1_d,24,0,0
rcc096_1_s1_d,25,1,1
rcc096_1_s1_d,26,0,0
rcc096_1_s1_d,27,0,0
rcc096_1_s1_d,28,0,0
rcc096_1_s1_d,29,0,0
rcc096_1_s1_d,30,0,0
rcc096_1_s1_d,31,0,0
rcc096_1_s1_d,32,0,0
rcc096_1_s1_d,33,0,0
rcc096_1_s1_d,34,0,0
rcc096_1_s1_d,35,0,0
rcc096_1_s1_d,36,1,1
rcc096_1_s1_d,37,0,0
rcc096_1_s1_d,38,0,0
rcc096_1_s1_d,39,0,0
rcc096_1_s1_d,40,0,0
rcc096_1_s1_d,41,0,0
rcc096_1_s1_d,42,0,0
rcc096_1_s1_d,43,0,0
rcc096_1_s1_d,44,1,1
rcc096_1_s1_d,45,1,1
rcc096_1_s1_d,46,0,0
rcc096_1_s1_d,47,0,0
rcc096_1_s1_d,48,0,0
rcc096_1_s1_d,49,0,0
rcc096_1_s1_d,50,0,0
rcc096_1_s1_d,51,0,0
rcc096_1_s1_d,52,0,0
rcc096_1_s1_d,53,0,0
rcc096_1_s1_d,54,0,0
rcc096_1_s1_d,55,0,0
rcc096_1_s1_d,56,0,0
rcc096_1_s1_d,57,0,0
rcc096_1_s1_d,58,0,0
rcc096_1_s1_d,59,0,0
rcc096_1_s1_d,60,1,1
rcc096_1_s1_d,61,0,0
rcc096_1_s1_e,1,1,1
rcc096_1_s1_e,2,1,1
rcc096_1_s1_e,3,0,0
rcc096_1_s1_e,4,1,1
rcc096_1_s1_e,5,1,1
rcc096_1_s1_e,6,1,1
rcc096_1_s1_e,7,1,1
rcc096_1_s1_e,8,0,0
rcc096_1_s1_e,9,1,1
rcc096_1_s1_e,10,0,0
rcc096_1_s1_e,11,1,1
rcc096_1_s1_e,12,1,1
rcc096_1_s1_e,13,0,0
rcc096_1_s1_e,14,1,1
rcc096_1_s1_e,15,1,1
rcc096_1_s1_e,16,1,1
rcc096_1_s1_e,17,0,0
rcc096_1_s1_e,18,3,3
rcc096_1_s1_e,19,1,1
rcc096_1_s1_e,20,0,0
rcc096_1_s1_e,21,0,0
rcc096_1_s1_e,22,0,0
rcc096_1_s1_e,23,0,0
rcc096_1_s1_e,24,1,1
rcc096_1_s1_e,25,1,1
rcc096_1_s1_e,26,1,1
rcc096_1_s1_e,27,0,0
rcc096_1_s1_e,28,0,0
rcc096_1_s1_e,29,0,0
rcc096_1_s1_e,30,0,0
rcc096_1_s1_e,31,0,0
rcc096_1_s1_e,32,0,0
rcc096_1_s1_e,33,0,0
rcc096_1_s1_e,34,0,0
rcc096_1_s1_e,35,0,0
rcc096_1_s1_e,36,0,0
rcc096_1_s1_e,37,1,1
rcc096_1_s1_e,38,1,1
rcc096_1_s1_e,39,0,0
rcc096_1_s1_e,40,0,0
rcc096_1_s1_e,41,0,0
rcc096_1_s1_e,42,0,0
rcc096_1_s1_e,43,0,0
rcc096_1_s1_e,44,0,0
rcc096_1_s1_e,45,0,0
rcc096_1_s1_e,46,0,0
rcc096_1_s1_e,47,0,0
rcc096_1_s1_e,48,0,0
rcc096_1_s1_e,49,0,0
rcc096_1_s1_e,50,0,0
rcc096_1_s1_e,51,0,0
rcc096_1_s1_e,52,0,0
rcc096_1_s1_e,53,0,0
rcc096_1_s1_e,54,0,0
rcc096_1_s1_e,55,0,0
rcc096_1_s1_e,56,0,0
rcc096_1_s1_e,57,0,0
rcc096_1_s1_e,58,0,0
rcc096_1_s1_e,59,0,0
rcc096_1_s1_e,60,0,0
rcc096_1_s1_e,61,0,0
rcc096_1_s1_f,1,1,1
rcc096_1_s1_f,2,1,1
rcc096_1_s1_f,3,1,1
rcc096_1_s1_f,4,1,1
rcc096_1_s1_f,5,1,1
rcc096_1_s1_f,6,1,Committed
rcc096_1_s1_f,7,1,Committed
rcc096_1_s1_f,8,1,Committed
rcc096_1_s1_f,9,1,Committed
rcc096_1_s1_f,10,1,Committed
rcc096_1_s1_f,11,1,Committed
rcc096_1_s1_f,12,1,Committed
rcc096_1_s1_f,13,1,Committed
rcc096_1_s1_f,14,1,Committed
rcc096_1_s1_f,15,1,Committed
rcc096_1_s1_f,16,NA,Fusion
rcc096_1_s1_f,17,NA,Fusion
rcc096_1_s1_f,18,NA,Fusion
rcc096_1_s1_f,19,NA,Fusion
rcc096_1_s1_f,20,NA,Fusion
rcc096_1_s1_f,21,NA,Fusion
rcc096_1_s1_f,22,NA,Fusion
rcc096_1_s1_f,23,NA,Fusion
rcc096_1_s1_f,24,NA,Fusion
rcc096_1_s1_f,25,NA,Fusion
rcc096_1_s1_f,26,NA,Fusion
rcc096_1_s1_f,27,NA,Fusion
rcc096_1_s1_f,28,NA,Fusion
rcc096_1_s1_f,29,NA,Fusion
rcc096_1_s1_f,30,NA,Fusion
rcc096_1_s1_f,31,NA,Fusion
rcc096_1_s1_f,32,NA,Fusion
rcc096_1_s1_f,33,NA,Fusion
rcc096_1_s1_f,34,NA,Fusion
rcc096_1_s1_f,35,NA,Fusion
rcc096_1_s1_f,36,NA,Fusion
rcc096_1_s1_f,37,NA,Fusion
rcc096_1_s1_f,38,NA,Fusion
rcc096_1_s1_f,39,NA,Fusion
rcc096_1_s1_f,40,NA,Fusion
rcc096_1_s1_f,41,NA,Fusion
rcc096_1_s1_f,42,NA,Fusion
rcc096_1_s1_f,43,NA,Fusion
rcc096_1_s1_f,44,NA,Fusion
rcc096_1_s1_f,45,NA,Fusion
rcc096_1_s1_f,46,NA,Fusion
rcc096_1_s1_f,47,NA,Fusion
rcc096_1_s1_f,48,NA,Fusion
rcc096_1_s1_f,49,NA,Fusion
rcc096_1_s1_f,50,NA,Fusion
rcc096_1_s1_f,51,NA,Fusion
rcc096_1_s1_f,52,NA,Fusion
rcc096_1_s1_f,53,NA,Fusion
rcc096_1_s1_f,54,NA,Fusion
rcc096_1_s1_f,55,NA,Fusion
rcc096_1_s1_f,56,NA,Fusion
rcc096_1_s1_f,57,NA,Fusion
rcc096_1_s1_f,58,NA,Fusion
rcc096_1_s1_f,59,NA,Fusion
rcc096_1_s1_f,60,NA,Fusion
rcc096_1_s1_f,61,NA,Fusion
rcc096_1_s1_g,1,0,0
rcc096_1_s1_g,2,1,1
rcc096_1_s1_g,3,1,1
rcc096_1_s1_g,4,0,0
rcc096_1_s1_g,5,2,2
rcc096_1_s1_g,6,1,1
rcc096_1_s1_g,7,1,1
rcc096_1_s1_g,8,1,1
rcc096_1_s1_g,9,0,0
rcc096_1_s1_g,10,0,0
rcc096_1_s1_g,11,0,0
rcc096_1_s1_g,12,0,0
rcc096_1_s1_g,13,2,2
rcc096_1_s1_g,14,2,2
rcc096_1_s1_g,15,1,1
rcc096_1_s1_g,16,1,1
rcc096_1_s1_g,17,1,1
rcc096_1_s1_g,18,1,Committed
rcc096_1_s1_g,19,1,Committed
rcc096_1_s1_g,20,1,Committed
rcc096_1_s1_g,21,1,Committed
rcc096_1_s1_g,22,1,Committed
rcc096_1_s1_g,23,1,Committed
rcc096_1_s1_g,24,NA,Fusion
rcc096_1_s1_g,25,NA,Fusion
rcc096_1_s1_g,26,NA,Fusion
rcc096_1_s1_g,27,NA,Fusion
rcc096_1_s1_g,28,NA,Fusion
